Week	Slot	Lane 1	Lane 2	Lane 3	Lane 4
1	Early 1	13 v 5	6 v 14	11 v 16	1 v 15
1	Early 2	13 v 14	6 v 5	11 v 15	1 v 16
1	Late 1	3 v 16	8 v 11	9 v 10	4 v 12
1	Late 2	3 v 11	8 v 16	9 v 12	4 v 10
2	Early 1	14 v 10	15 v 8	2 v 3	5 v 12
2	Early 2	14 v 8	15 v 10	2 v 12	5 v 3
2	Late 1	1 v 3	4 v 11	13 v 16	6 v 9
2	Late 2	1 v 11	4 v 3	13 v 9	6 v 16
3	Early 1	9 v 16	3 v 7	1 v 14	2 v 13
3	Early 2	9 v 7	3 v 16	1 v 13	2 v 14
3	Late 1	8 v 12	10 v 5	15 v 14	11 v 6
3	Late 2	8 v 5	10 v 12	15 v 6	11 v 14
4	Early 1	11 v 9	14 v 12	8 v 6	13 v 10
4	Early 2	11 v 12	14 v 9	8 v 10	13 v 6
4	Late 1	7 v 1	2 v 10	7 v 5	15 v 2
4	Late 2	7 v 10	2 v 1	7 v 2	15 v 5
5	Early 1	15 v 4	5 v 9	12 v 4	7 v 16
5	Early 2	15 v 9	5 v 4	12 v 16	7 v 4
5	Late 1	2 v 8	1 v 6	3 v 9	8 v 13
5	Late 2	2 v 6	1 v 8	3 v 13	8 v 9
6	Early 1	4 v 2	9 v 1	5 v 11	10 v 16
6	Early 2	4 v 1	9 v 2	5 v 16	10 v 11
6	Late 1	12 v 13	7 v 15	6 v 3	14 v 4
6	Late 2	12 v 15	7 v 13	6 v 4	14 v 3
7	Early 1	6 v 7	11 v 13	4 v 8	3 v 15
7	Early 2	6 v 13	11 v 7	4 v 15	3 v 8
7	Late 1	5 v 2	16 v 14	10 v 7	12 v 1
7	Late 2	5 v 14	16 v 2	10 v 1	12 v 7
8	Early 1	10 v 6	12 v 3	1 v 1	1 v 1
8	Early 2	10 v 3	12 v 6	1 v 1	1 v 1
8	Late 1	16 v 15	13 v 4	1 v 1	1 v 1
8	Late 2	16 v 4	13 v 15	1 v 1	1 v 1
9	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
9	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
9	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
9	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
10	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
10	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
10	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
10	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
11	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
11	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
11	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
11	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
12	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
12	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
12	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
12	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
