Week	Slot	Lane 1	Lane 2	Lane 3	Lane 4
1	Early 1	15 v 11	5 v 2	7 v 14	11 v 9
1	Early 2	15 v 2	5 v 11	7 v 9	11 v 14
1	Late 1	8 v 16	9 v 3	12 v 10	4 v 15
1	Late 2	8 v 3	9 v 16	12 v 15	4 v 10
2	Early 1	7 v 10	13 v 12	3 v 10	9 v 1
2	Early 2	7 v 12	13 v 10	3 v 1	9 v 10
2	Late 1	14 v 1	2 v 8	8 v 6	1 v 11
2	Late 2	14 v 8	2 v 1	8 v 11	1 v 6
3	Early 1	1 v 13	8 v 10	6 v 2	14 v 13
3	Early 2	1 v 10	8 v 13	6 v 13	14 v 2
3	Late 1	5 v 13	3 v 7	11 v 4	13 v 16
3	Late 2	5 v 7	3 v 13	11 v 16	13 v 4
4	Early 1	4 v 12	11 v 7	9 v 4	12 v 8
4	Early 2	4 v 7	11 v 12	9 v 8	12 v 4
4	Late 1	9 v 2	12 v 14	15 v 10	6 v 3
4	Late 2	9 v 14	12 v 2	15 v 3	6 v 10
5	Early 1	6 v 5	15 v 14	5 v 1	16 v 3
5	Early 2	6 v 14	15 v 5	5 v 3	16 v 1
5	Late 1	2 v 10	16 v 4	13 v 2	7 v 6
5	Late 2	2 v 4	16 v 10	13 v 6	7 v 2
6	Early 1	13 v 11	6 v 9	16 v 12	3 v 2
6	Early 2	13 v 9	6 v 11	16 v 2	3 v 12
6	Late 1	15 v 16	7 v 1	14 v 5	8 v 4
6	Late 2	15 v 1	7 v 16	14 v 4	8 v 5
7	Early 1	16 v 6	4 v 5	7 v 15	15 v 8
7	Early 2	16 v 5	4 v 6	7 v 8	15 v 15
7	Late 1	11 v 10	14 v 3	1 v 9	5 v 12
7	Late 2	11 v 3	14 v 10	1 v 12	5 v 9
8	Early 1	3 v 4	1 v 8	1 v 11	1 v 1
8	Early 2	3 v 8	1 v 4	1 v 1	1 v 11
8	Late 1	12 v 9	15 v 6	1 v 1	1 v 1
8	Late 2	12 v 6	15 v 9	1 v 1	1 v 1
9	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
9	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
9	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
9	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
10	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
10	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
10	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
10	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
11	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
11	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
11	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
11	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
12	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
12	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
12	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
12	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
