Week	Slot	Lane 1	Lane 2	Lane 3	Lane 4
1	Early 1	10 v 15	3 v 16	16 v 11	5 v 9
1	Early 2	10 v 16	3 v 15	16 v 9	5 v 11
1	Late 1	12 v 11	7 v 13	6 v 3	2 v 8
1	Late 2	12 v 13	7 v 11	6 v 8	2 v 3
2	Early 1	7 v 12	14 v 9	2 v 9	4 v 15
2	Early 2	7 v 9	14 v 12	2 v 15	4 v 9
2	Late 1	3 v 1	15 v 14	7 v 3	10 v 6
2	Late 2	3 v 14	15 v 1	7 v 6	10 v 3
3	Early 1	15 v 16	8 v 13	1 v 8	7 v 4
3	Early 2	15 v 13	8 v 16	1 v 4	7 v 8
3	Late 1	2 v 4	11 v 10	5 v 8	14 v 10
3	Late 2	2 v 10	11 v 4	5 v 10	14 v 8
4	Early 1	6 v 13	5 v 2	4 v 6	11 v 14
4	Early 2	6 v 2	5 v 13	4 v 14	11 v 6
4	Late 1	8 v 9	12 v 15	9 v 11	13 v 3
4	Late 2	8 v 15	12 v 9	9 v 3	13 v 11
5	Early 1	3 v 4	8 v 11	13 v 2	1 v 10
5	Early 2	3 v 11	8 v 4	13 v 10	1 v 2
5	Late 1	5 v 4	10 v 7	12 v 2	16 v 5
5	Late 2	5 v 7	10 v 4	12 v 5	16 v 2
6	Early 1	1 v 12	3 v 5	10 v 12	6 v 8
6	Early 2	1 v 5	3 v 12	10 v 8	6 v 12
6	Late 1	9 v 13	1 v 6	11 v 15	9 v 1
6	Late 2	9 v 6	1 v 13	11 v 1	9 v 15
7	Early 1	14 v 1	16 v 6	14 v 7	15 v 5
7	Early 2	14 v 6	16 v 1	14 v 5	15 v 7
7	Late 1	16 v 14	2 v 7	13 v 4	12 v 16
7	Late 2	16 v 7	2 v 14	13 v 16	12 v 4
8	Early 1	11 v 10	9 v 2	1 v 1	1 v 1
8	Early 2	11 v 2	9 v 10	1 v 1	1 v 1
8	Late 1	8 v 5	6 v 15	1 v 1	1 v 1
8	Late 2	8 v 15	6 v 5	1 v 1	1 v 1
9	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
9	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
9	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
9	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
10	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
10	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
10	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
10	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
11	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
11	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
11	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
11	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
12	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
12	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
12	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
12	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
