Week	Slot	Lane 1	Lane 2	Lane 3	Lane 4
1	Early 1	15 v 7	6 v 5	13 v 2	3 v 14
1	Early 2	15 v 5	6 v 7	13 v 14	3 v 2
1	Late 1	11 v 9	10 v 1	14 v 12	8 v 16
1	Late 2	11 v 1	10 v 9	14 v 16	8 v 12
2	Early 1	16 v 14	11 v 2	6 v 1	12 v 15
2	Early 2	16 v 2	11 v 14	6 v 15	12 v 1
2	Late 1	3 v 5	10 v 8	9 v 3	13 v 4
2	Late 2	3 v 8	10 v 5	9 v 4	13 v 3
3	Early 1	13 v 11	3 v 10	7 v 8	4 v 16
3	Early 2	13 v 10	3 v 11	7 v 16	4 v 8
3	Late 1	12 v 5	1 v 7	15 v 14	6 v 2
3	Late 2	12 v 7	1 v 5	15 v 2	6 v 14
4	Early 1	9 v 6	8 v 14	11 v 12	1 v 16
4	Early 2	9 v 14	8 v 6	11 v 16	1 v 12
4	Late 1	4 v 3	15 v 11	16 v 10	5 v 13
4	Late 2	4 v 11	15 v 3	16 v 13	5 v 10
5	Early 1	14 v 7	4 v 2	4 v 5	11 v 10
5	Early 2	14 v 2	4 v 7	4 v 10	11 v 5
5	Late 1	6 v 16	9 v 12	1 v 15	13 v 3
5	Late 2	6 v 12	9 v 16	1 v 3	13 v 15
6	Early 1	10 v 6	13 v 7	12 v 9	15 v 10
6	Early 2	10 v 7	13 v 6	12 v 10	15 v 9
6	Late 1	2 v 5	14 v 1	8 v 2	7 v 11
6	Late 2	2 v 1	14 v 5	8 v 11	7 v 2
7	Early 1	8 v 13	2 v 9	8 v 1	9 v 5
7	Early 2	8 v 9	2 v 13	8 v 5	9 v 1
7	Late 1	16 v 15	4 v 12	6 v 3	7 v 4
7	Late 2	16 v 12	4 v 15	6 v 4	7 v 3
8	Early 1	4 v 3	16 v 1	1 v 6	1 v 15
8	Early 2	4 v 1	16 v 3	1 v 15	1 v 6
8	Late 1	13 v 12	1 v 1	10 v 1	1 v 1
8	Late 2	13 v 1	1 v 12	10 v 1	1 v 1
9	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
9	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
9	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
9	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
10	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
10	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
10	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
10	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
11	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
11	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
11	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
11	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
12	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
12	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
12	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
12	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
