Week	Slot	Lane 1	Lane 2	Lane 3	Lane 4
1	Early 1	3 v 7	12 v 5	8 v 11	16 v 15
1	Early 2	3 v 5	12 v 7	8 v 15	16 v 11
1	Late 1	1 v 6	4 v 14	5 v 2	10 v 9
1	Late 2	1 v 14	4 v 6	5 v 9	10 v 2
2	Early 1	4 v 10	6 v 15	7 v 2	1 v 13
2	Early 2	4 v 15	6 v 10	7 v 13	1 v 2
2	Late 1	12 v 9	16 v 8	11 v 9	3 v 10
2	Late 2	12 v 8	16 v 9	11 v 10	3 v 9
3	Early 1	5 v 16	14 v 11	13 v 3	8 v 9
3	Early 2	5 v 11	14 v 16	13 v 9	8 v 3
3	Late 1	6 v 2	11 v 13	1 v 4	7 v 15
3	Late 2	6 v 13	11 v 2	1 v 15	7 v 4
4	Early 1	9 v 4	12 v 1	6 v 8	4 v 3
4	Early 2	9 v 1	12 v 4	6 v 3	4 v 8
4	Late 1	16 v 13	2 v 3	14 v 12	13 v 10
4	Late 2	16 v 3	2 v 13	14 v 10	13 v 12
5	Early 1	2 v 8	10 v 16	3 v 12	6 v 14
5	Early 2	2 v 16	10 v 8	3 v 14	6 v 12
5	Late 1	7 v 1	5 v 8	4 v 11	15 v 5
5	Late 2	7 v 8	5 v 1	4 v 5	15 v 11
6	Early 1	14 v 9	15 v 2	10 v 12	11 v 1
6	Early 2	14 v 2	15 v 9	10 v 1	11 v 12
6	Late 1	15 v 14	7 v 10	16 v 6	5 v 7
6	Late 2	15 v 10	7 v 14	16 v 7	5 v 6
7	Early 1	11 v 7	9 v 6	15 v 5	14 v 13
7	Early 2	11 v 6	9 v 7	15 v 13	14 v 5
7	Late 1	13 v 3	1 v 8	16 v 12	2 v 4
7	Late 2	13 v 8	1 v 3	16 v 4	2 v 12
8	Early 1	10 v 4	13 v 5	1 v 1	1 v 1
8	Early 2	10 v 5	13 v 4	1 v 1	1 v 1
8	Late 1	12 v 11	3 v 15	1 v 1	1 v 1
8	Late 2	12 v 15	3 v 11	1 v 1	1 v 1
9	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
9	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
9	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
9	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
10	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
10	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
10	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
10	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
11	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
11	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
11	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
11	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
12	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
12	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
12	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
12	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
