Week	Slot	Lane 1	Lane 2	Lane 3	Lane 4
1	Early 1	13 v 2	16 v 9	14 v 5	4 v 1
1	Early 2	13 v 9	16 v 2	14 v 1	4 v 5
1	Late 1	15 v 3	12 v 7	11 v 6	8 v 16
1	Late 2	15 v 7	12 v 3	11 v 16	8 v 6
2	Early 1	10 v 1	13 v 6	13 v 3	11 v 8
2	Early 2	10 v 6	13 v 1	13 v 8	11 v 3
2	Late 1	16 v 5	13 v 12	4 v 13	14 v 7
2	Late 2	16 v 12	13 v 5	4 v 7	14 v 13
3	Early 1	6 v 16	3 v 14	7 v 10	13 v 16
3	Early 2	6 v 14	3 v 16	7 v 16	13 v 10
3	Late 1	5 v 15	2 v 4	6 v 5	2 v 1
3	Late 2	5 v 4	2 v 15	6 v 1	2 v 5
4	Early 1	14 v 8	5 v 11	15 v 15	16 v 4
4	Early 2	14 v 11	5 v 8	15 v 4	16 v 15
4	Late 1	2 v 9	10 v 11	12 v 9	7 v 3
4	Late 2	2 v 11	10 v 9	12 v 3	7 v 9
5	Early 1	7 v 6	3 v 5	11 v 12	5 v 9
5	Early 2	7 v 5	3 v 6	11 v 9	5 v 12
5	Late 1	4 v 8	15 v 10	16 v 1	15 v 14
5	Late 2	4 v 10	15 v 8	16 v 14	15 v 1
6	Early 1	1 v 10	14 v 12	2 v 8	10 v 3
6	Early 2	1 v 12	14 v 10	2 v 3	10 v 8
6	Late 1	13 v 7	1 v 11	8 v 1	9 v 6
6	Late 2	13 v 11	1 v 7	8 v 6	9 v 1
7	Early 1	12 v 2	7 v 8	9 v 4	11 v 15
7	Early 2	12 v 8	7 v 2	9 v 15	11 v 4
7	Late 1	9 v 14	4 v 3	10 v 12	6 v 2
7	Late 2	9 v 3	4 v 14	10 v 2	6 v 12
8	Early 1	12 v 4	6 v 15	1 v 11	1 v 1
8	Early 2	12 v 15	6 v 4	1 v 1	1 v 11
8	Late 1	3 v 8	9 v 1	1 v 1	1 v 1
8	Late 2	3 v 1	9 v 8	1 v 1	1 v 1
9	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
9	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
9	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
9	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
10	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
10	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
10	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
10	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
11	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
11	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
11	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
11	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
12	Early 1	1 v 1	1 v 1	1 v 1	1 v 1
12	Early 2	1 v 1	1 v 1	1 v 1	1 v 1
12	Late 1	1 v 1	1 v 1	1 v 1	1 v 1
12	Late 2	1 v 1	1 v 1	1 v 1	1 v 1
